rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
1,Monster Solo,over-ear,0.002193,100.0,5.4766,5.4766,0.0,0.0,1.25,0.4444,37.0,0.001888,0.002564,1,False,False,106.5243,False
2,QKZ ZXD,in-ear,0.001876,99.9,6.7407,6.7407,0.0,0.0,1.25,0.4444,35.14,0.001615,0.002194,1,False,False,77.78,False
3,QCY HT10 AilyBuds Pro+ (ANC off),in-ear,0.001644,99.9,7.5282,7.5282,0.0,0.0,1.25,0.4444,35.91,0.001415,0.001922,1,False,False,79.6626,False
4,AFUL Explorer,in-ear,0.001472,99.8,5.9184,5.9184,0.0,0.0,1.4737,0.4042,46.41,0.001236,0.001775,3,False,False,65.1343,False
5,Sony PULSE Explore,in-ear,0.001404,99.7,5.9874,5.9874,0.0,0.0,2.3127,0.3019,35.91,0.00111,0.001841,2,False,False,113.3488,False
6,JVC HA-FXT90,in-ear,0.001365,99.7,4.0627,4.0627,0.0,0.0,1.25,0.4444,80.11,0.001176,0.001597,1,False,False,58.1216,False
7,Bose QuietComfort Earbuds,in-ear,0.001359,99.6,7.269,7.269,0.0,0.0,1.25,0.4444,45.0,0.00117,0.001589,1,False,False,64.2476,False
8,Creative Aurvana,over-ear,0.00134,99.5,5.6365,5.6365,0.0,0.0,1.25,0.4444,58.85,0.001153,0.001567,1,False,False,59.6816,False
9,Koss SP330,over-ear,0.001314,99.4,4.2262,4.2262,0.0,0.0,1.25,0.4444,80.01,0.001132,0.001537,1,False,False,61.5931,False
10,Panasonic RP-HJE125E,in-ear,0.001296,99.4,4.2559,4.2559,0.0,0.0,1.25,0.4444,80.55,0.001116,0.001516,1,False,False,84.6481,False
11,ZMF Bokeh S2 (thin protein earpads),over-ear,0.00124,99.3,3.9275,3.9275,0.0,0.0,1.25,0.4444,91.26,0.001067,0.00145,1,False,False,73.2916,False
12,Pump Audio Earphones,in-ear,0.001233,99.2,4.5008,4.5008,0.0,0.0,1.25,0.4444,80.05,0.001062,0.001442,1,False,False,77.8854,False
13,Periodic Audio Carbon,in-ear,0.001215,99.2,4.1553,4.1553,0.0,0.0,1.25,0.4444,88.04,0.001046,0.00142,1,False,False,56.1233,False
14,Skullcandy Crusher Evo,over-ear,0.001209,99.1,8.1882,8.1882,0.0,0.0,1.25,0.4444,44.9,0.001041,0.001413,1,False,False,59.5068,False
15,Moondrop Solis,in-ear,0.001199,99.0,4.4121,4.4121,0.0,0.0,1.25,0.4444,84.01,0.001032,0.001402,1,False,False,71.1319,False
16,Moondrop Kadenz (medium nozzle),in-ear,0.001192,99.0,4.5246,4.5246,0.0,0.0,1.25,0.4444,82.37,0.001027,0.001394,1,False,False,71.243,False
17,Moondrop Golden Ages (reference),in-ear,0.00119,98.9,4.5354,4.5354,0.0,0.0,1.25,0.4444,82.37,0.001024,0.001391,1,False,False,61.5271,False
18,Moondrop U2 (foams),over-ear,0.001173,98.8,4.7088,4.7088,0.0,0.0,1.25,0.4444,80.46,0.00101,0.001372,1,False,False,63.5901,False
19,Bose QuietComfort Earbuds II,in-ear,0.001163,98.8,8.4946,8.4946,0.0,0.0,1.25,0.4444,45.0,0.001001,0.001359,1,False,False,74.9825,False
20,"Beats Solo3 (2016, wireless)",over-ear,0.00116,98.7,3.5958,3.5958,0.0,0.0,1.25,0.4444,106.56,0.000999,0.001356,1,False,False,47.2515,False
21,Corsair VIRTUOSO PRO,over-ear,0.001142,98.6,7.8004,7.8004,0.0,0.0,1.25,0.4444,49.9,0.000983,0.001335,1,False,False,61.2864,False
22,Dyson OnTrac (enhanced),over-ear,0.001134,98.5,4.6371,4.6371,0.0,0.0,1.25,0.4444,84.48,0.000977,0.001326,1,False,False,104.2894,False
23,Final Audio Pandora Hope 4,over-ear,0.001113,98.5,4.512,4.512,0.0,0.0,1.25,0.4444,88.5,0.000958,0.001301,1,False,False,81.9598,False
24,JBL Live 770NC,over-ear,0.001097,98.4,8.1164,8.1164,0.0,0.0,1.25,0.4444,49.9,0.000945,0.001283,1,False,False,68.2909,False
25,Skullcandy Navigator,over-ear,0.001084,98.3,6.5913,6.5913,0.0,0.0,1.25,0.4444,62.2,0.000933,0.001267,1,False,False,52.0626,False
26,SoftEars Volume S,in-ear,0.001078,98.3,4.6326,4.6326,0.0,0.0,1.25,0.4444,89.0,0.000928,0.00126,1,False,False,43.6474,False
27,AKG N200,in-ear,0.001064,98.2,8.3716,8.3716,0.0,0.0,1.25,0.4444,49.9,0.000916,0.001244,1,False,False,65.6657,False
28,Wyze Buds,in-ear,0.001064,98.1,4.2626,4.2626,0.0,0.0,1.25,0.4444,97.98,0.000916,0.001244,1,False,False,61.7046,False
29,Moondrop Golden Ages (monitor),in-ear,0.001063,98.1,5.0742,5.0742,0.0,0.0,1.25,0.4444,82.37,0.000915,0.001243,1,False,False,60.5398,False
30,Yinyoo ST7,in-ear,0.001054,98.0,4.6201,4.6201,0.0,0.0,1.25,0.4444,91.26,0.000907,0.001232,1,False,False,54.768,False
31,Skullcandy Dime,in-ear,0.001046,97.9,7.4518,7.4518,0.0,0.0,1.25,0.4444,57.0,0.000901,0.001223,1,False,False,37.5223,False
32,Skullcandy Indy Fuel,in-ear,0.001044,97.9,5.2525,5.2525,0.0,0.0,1.25,0.4444,81.06,0.000899,0.00122,1,False,False,42.6161,False
33,Anker Liberty 4 Pro,in-ear,0.001031,97.8,5.4088,5.4088,0.0,0.0,1.25,0.4444,79.66,0.000888,0.001206,1,False,False,64.4436,False
34,Bowers & Wilkins C5,in-ear,0.001031,97.7,5.4573,5.4573,0.0,0.0,1.25,0.4444,78.98,0.000888,0.001206,1,False,False,47.9566,False
35,Sony MDR-EX10,in-ear,0.001016,97.6,4.4512,4.4512,0.0,0.0,1.25,0.4444,98.24,0.000875,0.001188,1,False,False,66.0102,False
36,"écoute Audio TH1 (ANC on, Harman curve)",over-ear,0.001013,97.6,4.8646,4.8646,0.0,0.0,1.25,0.4444,90.2,0.000872,0.001184,1,False,False,98.8189,False
37,Anker Soundcore Sleep A20,in-ear,0.001008,97.5,11.0517,11.0517,0.0,0.0,1.25,0.4444,39.9,0.000868,0.001178,1,False,False,134.0282,False
38,Beats Mixr,over-ear,0.001005,97.4,5.4433,5.4433,0.0,0.0,1.25,0.4444,81.26,0.000865,0.001175,1,False,False,59.901,False
39,Aure Audio Flame (foam eartips),in-ear,0.001003,97.4,5.4156,5.4156,0.0,0.0,1.25,0.4444,81.8,0.000864,0.001173,1,False,False,48.6564,False
40,Unique Melody 3X,in-ear,0.000999,97.3,5.1363,5.1363,0.0,0.0,1.25,0.4444,86.64,0.00086,0.001168,1,False,False,75.5239,False
41,"Beats Solo3 (2016, wired)",over-ear,0.000998,97.2,4.1798,4.1798,0.0,0.0,1.25,0.4444,106.56,0.000859,0.001167,1,False,False,61.0732,False
42,Verum One (ZMF Ori earpads),over-ear,0.000996,97.2,4.8009,4.8009,0.0,0.0,1.25,0.4444,92.91,0.000858,0.001165,1,False,False,67.6894,False
43,Elysian Pilgrim (foam eartips),in-ear,0.000993,97.1,5.5442,5.5442,0.0,0.0,1.25,0.4444,80.69,0.000855,0.001162,1,False,False,76.5392,False
44,Moondrop Kato (gold nozzle),in-ear,0.00099,97.0,5.422,5.422,0.0,0.0,1.2621,0.4421,82.37,0.000851,0.001159,2,False,False,73.7974,False
45,SoftEars Studio 4,in-ear,0.000988,96.9,5.4888,5.4888,0.0,0.0,1.2731,0.4399,81.13,0.000848,0.001159,3,False,False,45.0144,False
46,HyperX Cloud Stinger 2,over-ear,0.000984,96.9,7.6782,7.6782,0.0,0.0,1.25,0.4444,58.81,0.000847,0.001151,1,False,False,94.2041,False
47,Skullcandy Holua,in-ear,0.000982,96.8,6.3069,6.3069,0.0,0.0,1.5944,0.3854,62.2,0.000816,0.001203,2,False,False,76.9282,False
48,Huawei Freebuds Pro (ANC on),in-ear,0.00098,96.7,4.0723,4.0723,0.0,0.0,1.25,0.4444,111.35,0.000844,0.001146,1,False,False,72.6615,False
49,Oppo PM1 (PM2 earpads),over-ear,0.000978,96.7,5.6195,5.6195,0.0,0.0,1.25,0.4444,80.82,0.000842,0.001144,1,False,False,73.3855,False
50,"ZMF Bokeh (suede earpads, no mesh)",over-ear,0.000965,96.6,5.1557,5.1557,0.0,0.0,1.25,0.4444,89.32,0.000831,0.001128,1,False,False,80.5963,False
51,Oppo PM2 (PM1 velour pads),over-ear,0.00096,96.5,5.7275,5.7275,0.0,0.0,1.25,0.4444,80.82,0.000827,0.001123,1,False,False,69.9049,False
52,Moondrop Nekocake (ANC off),in-ear,0.00096,96.5,5.5084,5.5084,0.0,0.0,1.25,0.4444,84.01,0.000827,0.001123,1,False,False,233.7913,False
53,Sony WF-1000XM4 (Vocal preset),in-ear,0.000957,96.4,5.7026,5.7026,0.0,0.0,1.25,0.4444,81.46,0.000824,0.001119,1,False,False,112.579,False
54,Final Audio Heaven A,in-ear,0.000952,96.3,5.2729,5.2729,0.0,0.0,1.25,0.4444,88.5,0.00082,0.001114,1,False,False,121.5823,False
55,SOL REPUBLIC Tracks B,over-ear,0.000952,96.3,5.6305,5.6305,0.0,0.0,1.25,0.4444,82.91,0.00082,0.001113,1,False,False,65.605,False
56,Philips SHE3855,in-ear,0.000951,96.2,5.4738,5.4738,0.0,0.0,1.25,0.4444,85.4,0.000818,0.001112,1,False,False,70.6166,False
57,Logitech G Pro X Gaming Headset,over-ear,0.000949,96.1,5.8213,5.8213,0.0,0.0,1.25,0.4444,80.41,0.000817,0.00111,1,False,False,67.2293,False
58,SOL REPUBLIC Tracks,over-ear,0.000942,96.0,5.6879,5.6879,0.0,0.0,1.25,0.4444,82.91,0.000811,0.001102,1,False,False,64.9904,False
59,Sony WF-1000XM4 (EQ off),in-ear,0.000932,96.0,5.6969,5.6969,0.0,0.0,1.25,0.4444,83.68,0.000803,0.00109,1,False,False,115.4205,False
60,AKG K872,over-ear,0.00093,95.9,5.0154,5.0154,0.0,0.0,1.25,0.4444,95.29,0.000801,0.001087,1,False,False,58.3845,False
61,Shokz OpenFit,in-ear,0.000928,95.8,5.6709,5.6709,0.0,0.0,1.25,0.4444,84.48,0.000799,0.001085,1,False,False,91.6078,False
62,Etymotic hf5,in-ear,0.000927,95.8,4.5508,4.5508,0.0,0.0,1.9468,0.3393,80.46,0.000749,0.001178,3,False,False,106.1005,False
63,realme Buds Air 7 Pro (ANC on),in-ear,0.000927,95.7,7.2972,7.2972,0.0,0.0,1.25,0.4444,65.7,0.000798,0.001084,1,False,False,69.5216,False
64,Redmi Buds 6 Pro (Transparency),in-ear,0.000923,95.6,5.3974,5.3974,0.0,0.0,1.25,0.4444,89.18,0.000795,0.00108,1,False,False,93.6899,False
65,Bowers & Wilkins P5 Wireless,over-ear,0.000921,95.6,5.7508,5.7508,0.0,0.0,1.25,0.4444,83.9,0.000793,0.001077,1,False,False,64.8727,False
66,Koss Porta Pro KTC,over-ear,0.00092,95.5,5.5393,5.5393,0.0,0.0,1.25,0.4444,87.23,0.000792,0.001075,1,False,False,77.3563,False
67,Sony WF-1000XM4 (Bass Boost preset),in-ear,0.00092,95.4,5.9786,5.9786,0.0,0.0,1.25,0.4444,80.79,0.000792,0.001076,1,False,False,110.2559,False
68,Sash Tres SE Exclusive (leather earpads),over-ear,0.000917,95.4,5.8995,5.8995,0.0,0.0,1.25,0.4444,82.13,0.00079,0.001072,1,False,False,69.543,False
69,Sony WF-1000XM4 (ANC off),in-ear,0.000916,95.3,5.7981,5.7981,0.0,0.0,1.25,0.4444,83.68,0.000789,0.001071,1,False,False,107.8618,False
70,"Moondrop Moca (ANC on, reference)",in-ear,0.000914,95.2,5.4284,5.4284,0.0,0.0,1.25,0.4444,89.52,0.000787,0.001069,1,False,False,91.6227,False
71,"Beats Solo3 (wireless, 2019)",over-ear,0.00091,95.1,5.8959,5.8959,0.0,0.0,1.25,0.4444,82.87,0.000783,0.001064,1,False,False,48.3176,False
72,Monster Turbine-Pro,in-ear,0.000901,95.1,4.9369,4.9369,0.0,0.0,1.25,0.4444,99.9,0.000776,0.001054,1,False,False,88.8346,False
73,ZMF Atrium (ZMF BE2 perforated suede earpads),over-ear,0.000897,95.0,6.0122,6.0122,0.0,0.0,1.25,0.4444,82.44,0.000772,0.001048,1,False,False,95.0414,False
