rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,canonical_name,price_brl_real,price_brl_estimated,price_confidence,price_source,price_source_type,price_match_score,updated_at,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
1,Audio-Technica ATH-R70x,over-ear,0.002872,100.0,4.9986,4.9986,0.0,0.0,2.4836,0.2871,20.0,audio technica ath r70x,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:55:15+00:00,0.00225,0.003814,5,False,False,39.9999,False
2,Kiwi Ears Quartet (off-off),in-ear,0.002601,98.2,6.9399,6.9399,0.0,0.0,1.7698,0.361,20.0,kiwi ears quartet off off,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:56:12+00:00,0.002128,0.003247,5,False,False,61.9398,False
3,Sennheiser HD 800 S,over-ear,0.002423,96.5,6.3252,6.3252,0.0,0.0,2.2632,0.3065,20.0,sennheiser hd 800 s,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:55:53+00:00,0.00192,0.003165,6,False,False,38.9917,False
4,Sennheiser IE 200,in-ear,0.002379,94.7,7.641,7.641,0.0,0.0,1.7508,0.3635,20.0,sennheiser ie 200,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:56:22+00:00,0.001949,0.002964,5,False,False,60.0045,False
5,Grado RS1x,over-ear,0.002368,93.0,9.3844,9.3844,0.0,0.0,1.25,0.4444,20.0,grado rs1x,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:55:14+00:00,0.002039,0.002769,1,False,False,77.9751,False
6,Moondrop Aria,in-ear,0.002263,91.2,6.6601,6.6601,0.0,0.0,2.3179,0.3014,20.0,moondrop aria,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:56:11+00:00,0.001788,0.002969,7,False,False,52.7326,False
7,HEDD HEDDphone,over-ear,0.001817,89.5,7.4121,7.4121,0.0,0.0,2.7121,0.2694,20.0,hedd heddphone,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:55:23+00:00,0.00141,0.002451,4,False,False,48.8373,False
8,MiM Audio Dark Magician,in-ear,0.001477,87.7,5.1286,5.1286,0.0,0.0,1.6463,0.3779,49.9,mim audio dark magician,49.9,,real_high,kabum,structured_search,1.0,2026-06-18T02:56:11+00:00,0.00122,0.001819,3,False,False,79.7692,False
9,Skullcandy Crusher Wireless (bass boost),over-ear,0.001278,86.0,17.3859,17.3859,0.0,0.0,1.25,0.4444,20.0,skullcandy crusher wireless bass boost,,20.0,estimated_low,,estimated,0.0,2026-06-18T02:56:03+00:00,0.0011,0.001494,1,False,False,67.1763,False
10,Kiwi Ears Orchestra Lite,in-ear,0.00125,84.2,5.3771,5.3771,0.0,0.0,1.4408,0.4097,60.95,kiwi ears orchestra lite,,60.95,estimated_low,,estimated,0.0,2026-06-18T02:56:13+00:00,0.001053,0.001501,5,False,False,50.0548,False
11,Kiwi Ears Quartet (on-on),in-ear,0.001017,82.5,5.8936,5.8936,0.0,0.0,1.7814,0.3595,60.0,kiwi ears quartet on on,,60.0,estimated_low,,estimated,0.0,2026-06-18T02:56:27+00:00,0.000831,0.001271,5,False,False,65.952,False
12,Sony WF-1000XM4,in-ear,0.000679,80.7,4.0423,4.0423,0.0,0.0,3.5525,0.2197,80.1,sony wf 1000xm4,,80.1,estimated_low,,estimated,0.0,2026-06-18T02:55:10+00:00,0.000512,0.000957,4,False,False,67.2671,False
13,Simgot Audio EM6L,in-ear,0.00044,78.9,6.1633,6.1633,0.0,0.0,2.0704,0.3257,120.0,simgot audio em6l,,120.0,estimated_low,,estimated,0.0,2026-06-18T02:55:04+00:00,0.000353,0.000566,10,False,False,36.8767,False
14,Koss Porta Pro (Yaxi earpads),over-ear,0.000421,77.2,6.0518,6.0518,0.0,0.0,3.0659,0.246,96.45,koss porta pro yaxi,,96.45,estimated_low,,estimated,0.0,2026-06-18T02:55:42+00:00,0.000323,0.00058,4,False,False,57.2481,False
15,Truthear x Crinacle Zero RED,in-ear,0.000371,75.4,5.3376,5.3376,0.0,0.0,2.3621,0.2974,150.0,truthear x crinacle zero red,,150.0,estimated_low,,estimated,0.0,2026-06-18T02:55:16+00:00,0.000293,0.000489,13,False,False,53.6371,False
16,Sony MDR-ZX110,over-ear,0.000348,73.7,10.4109,10.4109,0.0,0.0,1.25,0.4444,122.55,sony mdr zx110,122.55,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:43+00:00,0.0003,0.000407,1,False,False,59.7661,False
17,Kiwi Ears Cadenza,in-ear,0.000253,71.9,4.525,4.525,0.0,0.0,1.4791,0.4034,352.87,kiwi ears cadenza,352.87,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:51+00:00,0.000212,0.000305,4,False,False,61.2886,False
18,HIFIMAN Sundara Closed-Back,over-ear,0.000232,70.2,7.6963,7.6963,0.0,0.0,2.296,0.3034,170.0,hifiman sundara closed back,,170.0,estimated_low,,estimated,0.0,2026-06-18T02:55:34+00:00,0.000183,0.000304,3,False,False,61.2421,False
19,Rose Technics North Forest,over-ear,0.000222,68.4,8.1703,8.1703,0.0,0.0,1.25,0.4444,245.29,rose technics north forest,,245.29,estimated_low,,estimated,0.0,2026-06-18T02:55:37+00:00,0.000191,0.000259,1,False,False,63.317,False
20,Kiwi Ears Quartet (off-on),in-ear,0.000161,66.7,6.4834,6.4834,0.0,0.0,1.716,0.3682,352.87,kiwi ears quartet off on,,352.87,estimated_low,,estimated,0.0,2026-06-18T02:56:14+00:00,0.000132,0.0002,5,False,False,62.141,False
21,Fifine Ampligame H6 (music),over-ear,0.000159,64.9,11.3046,11.3046,0.0,0.0,1.25,0.4444,247.35,fifine ampligame h6 music,247.35,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:17+00:00,0.000137,0.000186,1,False,False,64.9235,False
22,Kiwi Ears Quartet (on-off),in-ear,0.000157,63.2,6.4775,6.4775,0.0,0.0,1.7813,0.3595,352.87,kiwi ears quartet on off,,352.87,estimated_low,,estimated,0.0,2026-06-18T02:56:17+00:00,0.000129,0.000197,5,False,False,65.8776,False
23,AKG K52,over-ear,0.000145,61.4,8.6455,8.6455,0.0,0.0,1.7613,0.3621,289.0,akg k52,289.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:54+00:00,0.000119,0.000181,2,False,False,55.9945,False
24,Kiwi Ears Dolce,in-ear,0.000143,59.6,7.4208,7.4208,0.0,0.0,1.6615,0.3757,352.87,kiwi ears dolce,352.87,,real_medium,zoom_jacotei,structured_search,0.667,2026-06-18T02:55:58+00:00,0.000118,0.000177,5,False,False,51.4711,False
25,Fifine Ampligame H6 (movie),over-ear,0.000136,57.9,13.187,13.187,0.0,0.0,1.25,0.4444,247.35,fifine ampligame h6 movie,247.35,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:17+00:00,0.000117,0.000159,1,False,False,103.0795,False
26,Fifine Ampligame H6 (game),over-ear,0.000114,56.1,11.4309,11.4309,0.0,0.0,1.25,0.4444,341.99,fifine ampligame h6 game,341.99,,real_high,kabum,structured_search,0.825,2026-06-18T02:55:11+00:00,9.8e-05,0.000133,1,False,False,103.9437,False
27,KZ x HBB PR2,in-ear,0.000113,54.4,7.957,7.957,0.0,0.0,1.7748,0.3604,399.59,kz x hbb pr2,399.59,,real_medium,amazon_br,marketplace,1.0,2026-06-18T02:56:28+00:00,9.3e-05,0.000142,3,False,False,47.6663,False
28,Philips SHP9500,over-ear,8.8e-05,52.6,6.6727,6.6727,0.0,0.0,2.4088,0.2934,499.0,philips shp9500,499.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:27+00:00,6.9e-05,0.000116,4,False,False,47.875,False
29,Kiwi Ears Division,over-ear,8.3e-05,50.9,9.6449,9.6449,0.0,0.0,2.5585,0.281,352.87,kiwi ears division,352.87,,real_medium,zoom_jacotei,structured_search,0.667,2026-06-18T02:55:26+00:00,6.4e-05,0.00011,3,False,False,52.6472,False
30,Audio-Technica ATH-M40x,over-ear,4.8e-05,49.1,8.3109,8.3109,0.0,0.0,1.8251,0.354,887.0,audio technica ath m40x,887.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:56+00:00,3.9e-05,6e-05,3,False,False,40.014,False
31,Focal Listen Professional,over-ear,4.5e-05,47.4,9.5811,9.5811,0.0,0.0,1.25,0.4444,1020.0,focal listen professional,,1020.0,estimated_low,,estimated,0.0,2026-06-18T02:55:19+00:00,3.9e-05,5.3e-05,1,False,False,58.3465,False
32,DUNU SA6 Ultra (atmospheric immersion mode),in-ear,4.5e-05,45.6,5.9811,5.9811,0.0,0.0,1.3011,0.4346,1622.93,dunu sa6 ultra atmospheric immersion mode,1622.93,,real_medium,amazon_br,marketplace,1.0,2026-06-18T02:56:01+00:00,3.8e-05,5.3e-05,2,False,False,46.7843,False
33,AKG K612 Pro,over-ear,3.5e-05,43.9,9.2278,9.2278,0.0,0.0,1.25,0.4444,1369.45,akg k612 pro,1369.45,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:54+00:00,3e-05,4.1e-05,1,False,False,51.5747,False
34,HIFIMAN HE400se,over-ear,3.3e-05,42.1,5.7128,5.7128,0.0,0.0,2.8719,0.2583,1350.0,hifiman he400se,1350.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:19+00:00,2.6e-05,4.6e-05,4,False,False,53.8755,False
35,AKG K702,over-ear,3.2e-05,40.4,7.8948,7.8948,0.0,0.0,2.8609,0.259,1019.15,akg k702,1019.15,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:55+00:00,2.5e-05,4.4e-05,5,False,False,37.3999,False
36,HIFIMAN Sundara (post-2020 earpads),over-ear,3.1e-05,38.6,6.2397,6.2397,0.0,0.0,2.8489,0.2598,1350.0,hifiman sundara post 2020,1350.0,,real_medium,zoom_jacotei,structured_search,0.5,2026-06-18T02:55:41+00:00,2.4e-05,4.2e-05,4,False,False,45.5122,False
37,Sennheiser HD 650,over-ear,2.6e-05,36.8,5.2185,5.2185,0.0,0.0,2.2201,0.3105,2250.0,sennheiser hd 650,2250.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:34+00:00,2.1e-05,3.4e-05,6,False,False,33.2868,False
38,HIFIMAN Arya,over-ear,2.5e-05,35.1,7.6592,7.6592,0.0,0.0,2.9298,0.2545,1350.0,hifiman arya,1350.0,,real_medium,zoom_jacotei,structured_search,0.5,2026-06-18T02:55:23+00:00,1.9e-05,3.4e-05,3,False,False,52.9398,False
